country,cancer_mortality,smoking,alcohol,obesity,inactivity,gdp_per_capita,pollution_pm25,medical_doctors_per_10000
SUR,163.222267541,,8.5,19.09955,55.124641,5521.97602122638,12.77661,13.55
CRI,83.934194038,8.1,4.9,37.745804,49.658787,16942.0268119375,13.87021,26.87
CAF,115.66783287,,3.9,6.0883269,19.118834,495.978897288721,26.6619,0.74
COG,97.078698481,2.2,4.0,8.5372791,15.971411,2477.97845544866,36.48812,1.73
HTI,167.964666719,7.4,4.5,10.68923,20.349628,1705.75808460999,9.69133,2.92
ISL,156.19627908,9.5,13.9,19.378752,23.924435,82138.7892973557,6.20275,44.76
CYP,87.598381681,17.9,4.8,22.936533,40.830891,36623.69140625,16.28652,38.06
SOM,142.318198609,,0.0,14.613833,18.09794,596.885985135589,14.41298,0.48
URY,164.435673106,22.2,10.8,35.600987,33.844395,23019.4221560046,8.47571,45.51
GAB,117.189990592,13.5,4.0,10.967557,17.125404,7802.82433276138,22.76377,5.21
KGZ,80.074869939,3.1,2.0,26.599699,19.874479,2138.22210211478,37.58464,15.68
ETH,83.212639702,1.4,0.8,1.0555097,9.4297638,1055.81091592527,22.93779,1.43
SLV,69.392901712,2.2,1.7,30.880031,39.231148,5365.44491399171,23.83927,16.16
UGA,171.307674093,5.6,24.6,4.1128885,6.0155964,1002.30913917142,39.0117,2.09
MWI,169.888967592,6.8,3.6,7.7355236,2.9393499,633.214767978695,20.8175,0.83
ZAF,133.524157045,23.1,15.9,45.774037,48.058529,6034.27208964673,19.74802,8.16
MDV,124.917852153,31.8,2.2,23.553596,25.310144,12587.6126038651,13.00334,23.0
TUR,185.275912305,42.6,2.1,40.868044,35.147224,13375.0947282864,23.14065,23.4
NAM,115.61527126,,9.1,22.829732,20.990103,4187.60500396525,11.81074,6.44
ARE,97.187169786,2.6,0.8,32.07922,63.121742,49850.6872175164,41.7495,29.92
VNM,104.606351403,43.3,3.5,2.0157427,34.525539,4323.35031982451,22.11983,11.07
IRN,102.554127799,24.1,1.8,30.777851,46.278023,5049.29931642754,34.10628,18.11
LTU,190.767123122,28.5,21.3,23.10569,20.746964,27786.0057829276,9.38725,46.45
KIR,239.221814842,24.9,0.2,46.303168,41.143082,2177.70125812262,7.18299,4.68
LUX,131.010366909,22.3,12.9,20.306304,13.901591,133230.619178899,8.89471,29.84
OMN,88.612942172,0.4,0.8,39.939266,40.878246,21027.7384778886,34.44613,19.92
BLZ,78.854507825,2.0,2.6,51.842821,35.16988,7424.75821321022,10.51453,13.36
SAU,69.446004528,27.0,0.3,37.297434,46.666382,36156.848337701,60.54367,34.06
CHN,133.718524419,2.0,3.0,8.816541,27.950201,12951.1782397043,41.41693,28.19
MMR,144.71158606,43.5,2.0,5.471611,23.633318,1233.19666209269,27.57868,7.57
GRC,85.810594131,28.3,4.5,26.723322,37.334476,23343.7103964562,14.62251,67.12
SYR,114.85003355,,0.4,25.966167,42.367371,,25.31133,16.27
NLD,146.746790644,17.1,14.8,14.528421,10.71339,63515.6030780019,10.50064,38.68
KWT,118.166078653,37.4,0.0,38.05657,65.135094,34075.849012909,67.22286,29.69
TTO,138.446174972,,6.7,22.358915,34.63356,18308.4536298575,10.01942,41.57
NGA,77.107676295,5.5,10.8,16.525437,15.544358,2138.76383719983,55.64206,3.8
VUT,76.572799997,9.1,3.7,16.346848,7.5170069,3482.61458237637,8.42148,1.64
LCA,136.650596491,25.2,17.2,33.465132,20.949776,13554.7684784933,8.97661,42.34
CZE,173.419917593,26.5,22.3,22.299154,24.116062,31761.5944102491,14.89686,42.39
BWA,83.975600997,17.7,6.6,18.290879,26.786106,7826.35376483298,13.90313,3.79
MKD,192.473933161,36.4,9.9,27.538985,20.531815,8674.35846327485,23.78762,29.44
JPN,171.947748051,7.2,12.3,3.5280265,44.746857,33836.1756271617,9.79668,26.49
CUB,102.9614396,10.0,5.8,18.511385,72.029533,,13.31979,85.05
KEN,195.388000262,2.0,1.1,12.410276,9.3055487,1942.58802756191,12.3332,2.89
RWA,125.633614187,4.4,9.0,7.7457666,10.067687,1027.03446826565,38.18082,1.04
THA,191.464762876,35.7,13.4,15.384609,29.435331,7195.10130919449,25.48299,5.91
BRN,146.75995423,28.0,0.7,31.710672,27.787956,32890.5491812019,6.72849,20.94
USA,122.39383267,20.9,15.3,41.986719,39.809139,81032.262117545,7.10274,26.54
BIH,183.853552993,42.8,7.2,21.523194,23.692265,8663.02326458629,32.52884,25.84
PAK,84.497829218,16.7,0.3,26.012906,57.007988,1360.32417758419,51.58568,9.71
ERI,116.40654054,,0.5,4.8325729,16.098185,,24.63033,0.89
TZA,108.837884345,1.7,11.3,18.293951,4.2993827,1224.00219726563,14.46877,1.34
BEN,95.786947431,12.1,1.1,7.1299814,15.639967,1394.17784721831,31.51453,2.16
SWZ,145.468131844,2.3,3.8,43.860826,22.623983,3755.52111232464,14.77336,5.57
DZA,83.183465389,0.6,1.6,23.814993,38.202965,5370.477235078,22.68313,16.6
GRD,155.246208385,,3.9,41.921958,35.869469,11414.4781691181,10.22044,13.83
ARM,126.91210057,24.7,9.1,18.979268,26.583851,8159.08720967996,28.4066,33.6
IRQ,73.433807911,37.3,0.4,48.124334,61.510246,5965.31835077761,45.4389,10.64
VEN,104.31754198,,4.1,22.715917,52.751141,3617.43594578269,16.12174,16.64
UKR,127.953857351,8.1,14.0,19.907339,12.754871,5139.59814453125,14.51276,35.31
BFA,158.875384747,4.1,20.2,6.7453086,19.302607,873.482589651003,40.74491,1.08
DEU,92.971121048,19.7,6.2,18.426281,11.978459,54776.7668235491,11.15322,45.93
ESP,98.103143266,21.7,12.7,15.66913,21.848007,33493.2225409111,9.77284,44.29
GUY,133.050335381,11.3,11.0,28.45774,24.214403,20473.7002190617,11.10584,12.49
LBR,100.346624154,8.0,2.5,12.800992,14.583702,799.194470229642,41.87608,1.78
BRA,117.850566374,8.9,3.3,28.141835,40.398304,10377.5897719195,11.25509,23.57
LBN,127.037406202,53.1,0.6,30.544344,58.615612,3477.72489842684,24.234,26.8
RUS,248.27173518,25.5,11.2,24.19482,18.090187,14159.3876953125,7.73754,51.11
CAN,163.337962308,13.6,4.1,27.568114,37.180416,54220.3285039875,6.70198,28.19
GNQ,116.845914283,,3.3,17.673737,24.2852,6677.793435386,28.67811,1.53
PER,108.669148705,3.0,3.1,27.288428,34.473938,7887.54185920108,26.06872,16.88
BLR,82.508399826,46.4,5.4,22.641641,14.017751,7896.75388295584,14.67185,47.29
ITA,179.090834396,24.2,7.8,17.393,40.085499,39277.0838783918,15.54722,53.06
TLS,70.029934815,74.7,2.2,1.5648082,20.883018,1502.41147438211,20.47387,7.68
VCT,143.631026032,,9.1,33.24897,21.354725,10582.3656725229,9.50585,18.56
GEO,72.633766622,56.9,13.6,33.321351,23.771418,8283.66960652261,16.92841,56.42
MDG,139.28112227,41.0,2.0,4.2625114,14.602373,508.718427705591,16.02251,1.03
ZMB,138.42535238,2.6,6.5,11.078548,17.92662,1330.72780576709,17.29497,1.56
ATG,163.878023299,,10.3,41.676244,38.117939,21494.5474000727,8.29693,29.17
NIC,112.066112022,,8.5,27.772659,44.269508,2609.44492072931,17.07197,9.08
DJI,112.449974547,,0.1,6.1037891,13.576104,3381.29779710722,19.80856,2.11
ECU,125.926978737,10.1,6.4,27.378547,22.777739,6737.84748379638,16.18955,23.13
GMB,48.352667272,10.3,3.6,14.932996,17.005886,883.024111719809,41.39889,0.9
KHM,150.739449323,5.6,10.9,4.3638762,13.683775,2429.74853452838,17.42911,2.11
COL,78.021482694,8.2,2.4,23.615474,28.057915,7000.83660501046,13.25904,25.37
SEN,105.655715172,9.9,0.8,3.9021455,10.939219,1698.03387300843,42.18271,1.09
WSM,180.895896719,32.3,0.9,62.429392,13.474737,4822.74084650019,7.77989,5.61
ZWE,164.088936998,19.1,4.7,5.4841857,21.140495,2195.22492079245,13.0697,1.82
YEM,65.476818005,,0.1,16.996951,23.986929,,43.87117,1.65
FRA,166.660252542,25.4,12.3,9.6195906,19.847729,44700.1384177544,11.33744,40.09
NOR,105.423628434,12.1,7.4,17.73773,35.115173,87497.2179649556,6.95687,49.75
SDN,103.203180878,,0.5,17.005,19.111473,797.283447265625,20.99918,2.5
BGR,161.504515226,30.8,20.2,17.876653,32.280933,15853.208636704,17.29031,43.92
AZE,67.988366382,18.5,7.5,26.548883,23.920729,7133.02838048328,24.64286,31.85
GHA,142.622556867,5.6,1.2,5.1456396,23.998734,2383.90410483418,40.58055,2.66
DNK,144.258971832,16.2,15.8,13.27851,13.059978,68043.5466971243,9.65653,45.3
MAR,79.324400372,12.9,0.2,13.317187,29.051777,3813.72607421875,13.44048,7.93
SLE,88.451818493,10.5,5.7,7.1300082,8.5603628,758.329137378248,38.18799,1.34
HND,121.517303756,1.7,3.8,22.870339,42.872654,3227.45762509776,18.93138,19.02
COM,86.083335413,8.8,1.2,8.0247007,10.536747,1560.27378476855,14.48957,4.24
ALB,86.125104271,21.9,7.2,25.196055,24.279688,9730.86921906893,16.57698,18.79
BEL,123.419128458,19.0,5.3,20.887868,25.410315,55291.4754541329,9.90636,33.91
ISR,101.365843607,13.6,4.2,21.804537,24.109634,52003.7200729997,18.76325,37.97
LVA,106.250010806,46.9,20.9,24.794358,13.678427,22710.2637544197,15.64189,33.52
CPV,135.573693141,16.0,2.4,15.772428,22.359024,4794.90121917259,31.08072,7.3
MNG,262.44812679,7.5,8.2,24.108742,28.827858,5838.63108083902,50.61617,43.64
HRV,147.872792899,33.1,9.2,33.606794,28.269438,22184.2279304842,15.80971,39.73
PRK,117.825611421,0.0,3.8,13.040952,29.409632,,41.46032,36.33
LAO,130.865679459,41.8,10.7,8.0098711,9.0763206,2066.94979776957,20.54344,3.31
PRY,126.847200986,6.8,7.6,29.849377,35.961838,6299.99026533713,13.49716,38.93
HUN,125.776495496,28.4,5.4,27.904692,29.413515,22230.6277875187,14.04967,35.87
QAT,76.155373517,23.3,0.4,43.141672,53.482586,81816.9797967481,54.51748,30.22
UZB,82.463097431,1.0,2.6,26.790169,25.988647,2878.96879292451,44.54765,23.23
BTN,109.411954822,11.4,0.4,9.2808254,11.018431,3831.32535494609,26.43655,5.53
GIN,93.262140185,,0.3,12.734009,19.350788,1555.49375806861,45.35609,2.1
ROU,189.912971212,27.2,5.5,37.073219,36.756824,18244.4186876321,14.60785,37.12
AUS,121.313397916,9.6,16.0,30.243906,23.73945,65058.3773146674,9.11918,42.28
BDI,128.728636423,14.2,2.8,4.0445022,14.274113,250.627253097255,28.37594,0.78
GBR,152.569007429,12.4,5.4,27.600151,19.738962,49944.4702124201,10.06063,33.54
KOR,185.646509743,5.1,14.7,7.3305406,60.282551,35674.095995632,24.37874,26.63
MUS,92.470717898,32.5,1.8,25.327116,24.855013,11269.9684462139,9.89278,30.15
BRB,140.050502517,,16.0,38.024801,36.262009,25583.878782727,9.83295,23.98
BHS,122.212826389,30.8,4.8,38.734406,26.574717,38231.774484278,5.51808,18.95
LKA,76.4687408,40.2,4.1,6.5567739,44.844318,3798.89016573011,25.25628,11.36
POL,153.902699166,21.9,18.4,31.05256,35.954815,22145.2660647429,20.36161,36.49
CMR,84.584426032,5.1,9.0,20.378305,16.143055,1720.47510154506,62.02032,1.36
SVN,239.270062929,18.1,11.9,13.685426,18.420258,32660.4753581346,14.60053,35.07
LSO,98.770668966,47.0,7.9,8.4490597,7.977572,916.282976983803,17.0272,2.35
CIV,137.542362587,7.5,4.3,15.721627,15.770539,2591.9659048119,54.064,1.66
JAM,140.6662268,18.8,6.8,33.807024,45.749065,7542.40084275345,13.74569,4.6
SVK,151.522591386,32.8,5.4,23.059085,23.295132,24614.8734642794,16.63755,37.61
MLT,140.075405535,23.2,3.6,35.246661,37.769535,40905.8059585057,12.93912,47.19
TUN,80.466635005,47.6,3.8,33.849469,28.606998,3951.11683376921,26.52402,12.38
TJK,82.245026584,,3.3,27.45246,44.954327,1178.47990060249,62.64717,18.7
BOL,128.215479008,4.4,2.1,28.680372,22.574299,4274.70820547613,27.42852,12.84
AGO,118.190649838,,3.1,6.2656417,13.930124,2916.13663284275,32.32399,2.44
TGO,89.766325211,5.3,3.9,17.390749,14.775393,1055.01727877926,33.6601,0.8
FIN,154.108503,14.8,5.1,21.580429,8.0807552,52834.2916752703,5.46669,28.75
SLB,84.239481023,39.3,3.0,22.602381,22.286308,1882.64394148042,8.69793,2.38
DOM,118.014835955,,6.7,35.397655,42.923744,10630.431743829,7.58534,24.26
IND,103.048796396,35.8,9.0,7.2678864,49.418007,2530.12031278204,45.62557,9.39
GTM,82.539620752,1.8,2.5,31.268656,44.760452,5758.32760847852,19.19072,12.81
PAN,76.680990274,1.9,3.4,43.073308,66.861877,18797.1933994045,11.89204,16.25
BHR,81.762074423,25.8,1.1,36.126715,35.726631,29290.1284215098,51.81722,7.41
MYS,132.884786126,33.9,0.9,22.095373,39.900253,11386.0395636528,16.70889,23.41
TCD,115.279436656,7.0,2.3,6.0424827,17.847639,949.333453674592,41.15263,0.85
MLI,161.707928444,13.9,0.4,9.8665722,33.75695,1043.9533853528,38.54882,1.88
TKM,114.207850652,5.3,8.4,21.402203,10.823413,6231.91323839698,26.40493,19.34
FJI,141.10797679,25.6,5.5,33.838442,21.796122,5926.20586394763,7.36073,7.54
NER,71.433897762,7.6,0.2,7.6290332,12.980369,638.336080897887,59.52592,0.38
SWE,118.883048043,20.4,13.7,16.743164,8.0887842,54950.2834725622,6.03375,44.74
FSM,174.670685576,,4.1,37.981272,22.940521,3919.64307910859,7.71496,9.74
CHL,104.027222336,29.5,9.1,33.398509,38.213932,17067.0364799154,22.15511,33.34
AUT,108.331718514,21.7,12.0,18.450151,19.62381,56579.504175468,11.50796,55.15
COD,99.123243919,20.3,3.2,6.6405505,17.456207,660.21205238997,33.72837,2.08
MOZ,108.280030344,9.1,3.9,13.697648,8.1969223,622.000297682823,16.16548,1.75
MDA,160.58448019,49.9,5.3,22.970207,10.770437,6799.58594644576,12.29008,39.25
MRT,88.404882837,9.9,0.0,8.8995621,38.518417,2135.78187606359,54.70469,2.61
AFG,92.41178321,38.1,0.4,23.718682,20.019466,413.757894705303,55.999,3.17
NZL,114.502314925,10.2,16.4,33.621314,17.837965,49075.9562832927,8.53716,36.8
ARG,134.592687925,27.3,14.9,34.384483,38.50597,14261.8465667948,12.04087,50.88
NPL,81.293530787,45.3,0.8,8.8657387,8.2337427,1382.33055769304,37.14009,10.11
BGD,115.912472033,49.1,0.0,5.303124,20.936911,2551.01773827307,46.84535,7.22
PNG,156.11333195,55.5,2.3,25.238308,16.998617,2966.06830432055,9.50918,0.61
IDN,112.939724573,3.0,0.2,11.227874,18.998718,4876.30774512252,18.44526,5.24
TON,153.884991702,47.5,0.3,62.267756,22.607256,5651.59373063157,7.38654,10.14
PHL,87.413563592,4.4,6.9,8.7417305,35.820728,3804.08274131097,21.43726,7.92
SYC,123.01082435,30.6,9.5,39.63998,21.225483,18262.7115849287,16.3006,36.34
JOR,120.654151821,12.7,0.2,33.027628,28.23,4466.08314208575,25.87215,29.57
LBY,98.712555955,25.0,0.0,45.926279,37.47834,6026.51518708812,28.25952,20.42
CHE,130.551839669,22.8,5.6,9.605898,19.034122,100623.549627296,8.8098,45.59
STP,73.56098061,13.0,9.3,23.26725,14.132354,2990.6606143535,36.46363,4.64
KAZ,116.967429695,21.4,1.9,18.376419,27.715195,12879.4275257974,35.43695,37.54
EST,130.485542771,31.2,9.2,22.41483,16.53961,30264.0064885057,5.79388,34.9
GNB,97.508563304,0.6,2.0,14.828497,17.639141,988.087886357022,34.84998,1.43
EGY,120.658636199,0.4,0.1,57.129252,37.405094,3456.78968456253,66.4208,11.8
PRT,107.261211854,30.9,5.6,21.214277,45.988567,27634.6183139773,7.28685,60.22
IRL,176.323935912,15.1,12.9,29.620308,19.699816,106818.917130804,8.69594,38.75
MEX,67.135479937,15.7,8.0,31.446514,25.314507,13860.9597809326,19.04384,27.52
SGP,146.113898734,22.1,1.0,13.876627,22.048668,85412.230345235,13.33302,26.7
